mes,cliente_id,cliente,categoria,valor,kilos,base_3m,var_vs_base_pct,alerta,anio_mes
2025-12-01,C001,HiperMax Nacional,QUESOS MADURADOS,53899920,592.21,34381046.666666664,0.5677219056933889,Pico atípico,2025-12
2025-12-01,C002,SuperAhorro,QUESOS MADURADOS,25918530,304.42,16708836.666666666,0.5511869866862864,Pico atípico,2025-12
2025-12-01,C003,MaxiCompra Caribe,QUESOS MADURADOS,24904090,286.49,15763426.666666666,0.5798652492647538,Pico atípico,2025-12
2025-12-01,C012,Delimarket Gourmet,CARNES MADURADAS,3139750,22.4,1958066.6666666667,0.6034949439923734,Pico atípico,2025-12
2025-12-01,C012,Delimarket Gourmet,QUESOS MADURADOS,10443270,103.54,6935263.333333333,0.5058216967488378,Pico atípico,2025-12
2025-12-01,C013,La Mesa Premium,CARNES MADURADAS,2583440,18.24,1665570.0,0.5510846136757988,Pico atípico,2025-12
2025-12-01,C016,Canasta Familiar,QUESOS MADURADOS,20213500,235.53,13419873.333333334,0.506236273467062,Pico atípico,2025-12
2025-04-01,C017,RapiExpress,CARNES FRIAS,198490,4.6000000000000005,333486.6666666667,-0.40480379025648205,Caída atípica,2025-04
2025-03-01,C017,RapiExpress,QUESO PARMESANO,578210,7.93,381375.0,0.5161193051458539,Pico atípico,2025-03
2025-08-01,C017,RapiExpress,QUESO PARMESANO,570570,8.3,374553.3333333333,0.5233344606019614,Pico atípico,2025-08
2025-11-01,C017,RapiExpress,QUESOS ANALOGOS,186680,4.6499999999999995,116753.33333333333,0.5989265117341405,Pico atípico,2025-11
2025-03-01,C017,RapiExpress,QUESOS FRESCOS,557900,11.55,341350.0,0.6343928519115278,Pico atípico,2025-03
2025-09-01,C017,RapiExpress,QUESOS MADURADOS,265270,2.25,170350.0,0.5572057528617551,Pico atípico,2025-09
2025-10-01,C017,RapiExpress,QUESOS MADURADOS,329590,3.2,198406.66666666666,0.6611840999966401,Pico atípico,2025-10
2025-11-01,C017,RapiExpress,QUESOS MADURADOS,607550,7.05,253100.0,1.4004346108257604,Pico atípico,2025-11
2025-12-01,C017,RapiExpress,QUESOS MADURADOS,878490,12.0,400803.3333333333,1.191823088630334,Pico atípico,2025-12
