cliente_id,sku,fecha,unidades_inventario,kilos_inventario,sell_in_unidades,sell_in_kilos,sell_in_valor,sell_out_unidades,sell_out_kilos,sell_out_valor,cum_si_u,cum_so_u,cum_si_k,cum_so_k,inv_unidades_cierre,inv_kilos_cierre,inv_negativa_flag,inv_kilos_cierre_clip,avg_diario_30d_kilos,sell_out_kilos_30d,doh_30d,mes,cliente,canal,regional,zona,ciudad,formato_cliente,descripcion_producto,peso_kg,unidad,variedad,subcategoria,categoria,tipo_producto,marca,origen,anio_mes,riesgo
C013,190101,2025-12-31,4,1.6,4.0,0.0,78820.0,0.0,0.0,0.0,20.0,20.0,6.4,8.0,4.0,0.0,False,0.0,0.12000000000000002,3.6000000000000005,0.0,2025-12-01,La Mesa Premium,Tiendas Especializadas,Occidente,,Cali,Especialidad,TABLA APERITIVO NAVIDEÑA MONTE AZUL 400G,0.4,UND,MIXTO QUESOS,TEMPORADA,QUESOS MADURADOS,temporada,MONTE AZUL,IMPORTADO,2025-12,Desabastecimiento
C018,900102,2025-12-31,93,7.44,0.0,0.0,0.0,11.0,0.88,98070.0,2638.0,2669.0,205.84,212.88,62.0,0.4000000000000057,False,0.4000000000000057,0.672,20.16,0.5952380952381037,2025-12-01,Cadena Uno,Hard Discount,Occidente,Valle del Cauca,Cali,Discounter,PEPPERONI TAJADO CASA IBERIA 80G,0.08,UND,PEPPERONI,CHARCUTERIA,CARNES MADURADAS,regular,CASA IBERIA,IMPORTADO,2025-12,Desabastecimiento
C005,300102,2025-12-31,105,24.15,0.0,0.0,0.0,10.0,2.3,84690.0,2739.0,2772.0,610.19,632.96,72.0,1.3799999999999955,False,1.3799999999999955,1.8783333333333332,56.349999999999994,0.734693877551018,2025-12-01,PrecioListo,Hard Discount,Antioquia,Valle de Aburrá,Medellín,Discounter,JAMON DE PAVO FINAS LONCHAS SIERRA CARNES 230G,0.23,UND,JAMON PAVO,LONCHAS,CARNES FRIAS,regular,SIERRA CARNES,NACIONAL,2025-12,Desabastecimiento
C012,110110,2025-12-31,8,2.88,0.0,0.0,0.0,1.0,0.36,37820.0,216.0,215.0,73.44,75.96,9.0,0.35999999999999943,False,0.35999999999999943,0.348,10.44,1.0344827586206882,2025-12-01,Delimarket Gourmet,Tiendas Especializadas,Centro,Bogotá y Sabana,Bogotá,Especialidad,MIX QUESOS PREMIUM MONTE AZUL 360G,0.36,UND,MIXTO QUESOS,MEZCLAS PREMIUM,QUESOS MADURADOS,regular,MONTE AZUL,IMPORTADO,2025-12,Desabastecimiento
C001,110103,2025-12-31,102,15.3,0.0,0.0,0.0,11.0,1.65,160600.0,2401.0,2421.0,347.1,360.84,82.0,1.5600000000000591,False,1.5600000000000591,1.35,40.5,1.1555555555555992,2025-12-01,HiperMax Nacional,Grandes Superficies,Centro,Bogotá y Sabana,Bogotá,Hipermercado,MUENSTER TAJADO LOMA DORADA 150G,0.15,UND,MUENSTER,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,2025-12,Desabastecimiento
C003,190102,2025-12-31,28,14.0,0.0,0.0,0.0,1.0,0.5,30860.0,126.0,137.0,56.0,68.0,17.0,2.0,False,2.0,1.3333333333333333,40.0,1.5,2025-12-01,MaxiCompra Caribe,Grandes Superficies,Caribe,Costa Norte,Barranquilla,Supermercado,DUO FESTIVO QUESOS Y CARNES 500G,0.5,UND,MIXTO QUESOS-CARNES,TEMPORADA,QUESOS MADURADOS,temporada,MONTE AZUL,MAQUILA,2025-12,Desabastecimiento
C004,130104,2025-12-31,245,36.75,0.0,0.0,0.0,25.0,3.75,136380.0,6264.0,6354.0,912.15,943.326,155.0,5.573999999999955,False,5.573999999999955,2.9299999999999997,87.89999999999999,1.9023890784982784,2025-12-01,Descuento Ya,Hard Discount,Centro,Bogotá y Sabana,Bogotá,Discounter,PIZZA MIX RALLADO DELILAT 150G,0.15,UND,MIXTO QUESOS,RALLADOS,QUESOS ANALOGOS,regular,DELILAT,MAQUILA,2025-12,Desabastecimiento
C003,900102,2025-12-31,85,6.8,0.0,0.0,0.0,4.0,0.32,39810.0,1787.0,1825.0,138.64000000000001,144.4,47.0,1.0400000000000205,False,1.0400000000000205,0.52,15.6,2.000000000000039,2025-12-01,MaxiCompra Caribe,Grandes Superficies,Caribe,Costa Norte,Barranquilla,Supermercado,PEPPERONI TAJADO CASA IBERIA 80G,0.08,UND,PEPPERONI,CHARCUTERIA,CARNES MADURADAS,regular,CASA IBERIA,IMPORTADO,2025-12,Desabastecimiento
C002,190102,2025-12-31,22,11.0,0.0,0.0,0.0,4.0,2.0,123490.0,127.0,144.0,63.5,71.5,5.0,3.0,False,3.0,1.4833333333333334,44.5,2.0224719101123596,2025-12-01,SuperAhorro,Grandes Superficies,Antioquia,Valle de Aburrá,Medellín,Supermercado,DUO FESTIVO QUESOS Y CARNES 500G,0.5,UND,MIXTO QUESOS-CARNES,TEMPORADA,QUESOS MADURADOS,temporada,MONTE AZUL,MAQUILA,2025-12,Desabastecimiento
C001,110112,2025-12-31,239,23.9,0.0,0.0,0.0,14.0,1.4,96400.0,4590.0,4699.0,443.9,465.124,130.0,2.675999999999931,False,2.675999999999931,1.3,39.0,2.058461538461485,2025-12-01,HiperMax Nacional,Grandes Superficies,Centro,Bogotá y Sabana,Bogotá,Hipermercado,PARMESANO RALLADO ORO LECHE 100G,0.1,UND,TIPO PARMESANO,RALLADOS,QUESO PARMESANO,regular,ORO LECHE,MAQUILA,2025-12,Desabastecimiento
C004,130101,2025-12-31,424,63.6,0.0,0.0,0.0,45.0,6.75,236880.0,13560.0,13650.0,1978.47,2024.4,334.0,17.669999999999845,False,17.669999999999845,6.194999999999999,185.85,2.8523002421307257,2025-12-01,Descuento Ya,Hard Discount,Centro,Bogotá y Sabana,Bogotá,Discounter,CHEDDAR ESTILO AMERICANO DELILAT 150G,0.15,UND,CHEDDAR ANALOGO,LONCHAS,QUESOS ANALOGOS,regular,DELILAT,MAQUILA,2025-12,Desabastecimiento
