mes,canal,valor_presupuesto,valor_real,cumplimiento_valor_pct
2025-01-01,E-commerce,1438070,1365190,0.9493209649043509
2025-01-01,Exportaciones,15964310,15149800,0.9489793169889585
2025-01-01,Grandes Superficies,134692300,127578450,0.9471844344479974
2025-01-01,Hard Discount,99232370,94130110,0.948582705421628
2025-01-01,Institucional,193513620,183636130,0.9489571328364381
2025-01-01,Tiendas Especializadas,8279900,8124630,0.98124735805988
2025-01-01,Tradicional Modernizado,2405000,2285750,0.9504158004158004
2025-02-01,E-commerce,1314680,1266120,0.9630632549365625
2025-02-01,Exportaciones,16172120,15035050,0.9296894903080115
2025-02-01,Grandes Superficies,134982900,128297890,0.9504751342577468
2025-02-01,Hard Discount,95419280,90480670,0.9482430594739344
2025-02-01,Institucional,197409610,187228440,0.9484261683106512
2025-02-01,Tiendas Especializadas,8765470,8405130,0.9588909664855393
2025-02-01,Tradicional Modernizado,2770830,2608470,0.9414038392828141
2025-03-01,E-commerce,1791960,1690170,0.943196276702605
2025-03-01,Exportaciones,15353020,14548080,0.9475712270289494
2025-03-01,Grandes Superficies,158755640,150811660,0.9499609588673511
2025-03-01,Hard Discount,100480530,95854800,0.953963917188733
2025-03-01,Institucional,202890270,192834230,0.9504360657610639
2025-03-01,Tiendas Especializadas,9164340,8960900,0.9778009109221177
2025-03-01,Tradicional Modernizado,2783610,2597610,0.9331802946533458
2025-04-01,E-commerce,1308810,1238220,0.9460655098906641
2025-04-01,Exportaciones,16171590,15179230,0.9386355948920297
2025-04-01,Grandes Superficies,142755810,135794050,0.951233088166429
2025-04-01,Hard Discount,113583310,107505510,0.9464903778556902
2025-04-01,Institucional,305017330,288256510,0.9450496140661909
2025-04-01,Tiendas Especializadas,11104960,10670160,0.9608463245252572
2025-04-01,Tradicional Modernizado,3076060,2910520,0.9461844047255256
2025-05-01,E-commerce,1535230,1450990,0.945128742924513
2025-05-01,Exportaciones,17067090,15904300,0.9318694633941698
2025-05-01,Grandes Superficies,158992220,151126130,0.9505253150122691
2025-05-01,Hard Discount,115697210,109092030,0.9429097728458621
2025-05-01,Institucional,200636830,189581940,0.9449009935015421
2025-05-01,Tiendas Especializadas,9772390,9445800,0.9665803350050499
2025-05-01,Tradicional Modernizado,3006130,2856500,0.9502250401679235
2025-06-01,E-commerce,1583180,1509160,0.9532459985598606
2025-06-01,Exportaciones,15954320,15294760,0.9586594727948292
2025-06-01,Grandes Superficies,170484640,160510010,0.9414925004387492
2025-06-01,Hard Discount,98127100,92982710,0.9475742175199308
2025-06-01,Institucional,204797730,194598740,0.9501996921547909
2025-06-01,Tiendas Especializadas,10115120,9807620,0.9695999652006105
2025-06-01,Tradicional Modernizado,2793360,2673630,0.957137640690781
2025-07-01,E-commerce,1639950,1540490,0.9393518095063874
2025-07-01,Exportaciones,16851930,15805830,0.9379240241325474
2025-07-01,Grandes Superficies,162850870,154707220,0.9499932054400446
2025-07-01,Hard Discount,122518470,114682050,0.936038868262067
2025-07-01,Institucional,206272640,195330880,0.9469548651726182
2025-07-01,Tiendas Especializadas,12509530,12222180,0.9770295126995179
2025-07-01,Tradicional Modernizado,3222440,3061910,0.9501837117215526
2025-08-01,E-commerce,1781530,1699560,0.9539889869943251
2025-08-01,Exportaciones,17698960,16890620,0.9543283899166957
2025-08-01,Grandes Superficies,150924160,147429780,0.9768467818538794
2025-08-01,Hard Discount,126228820,117540840,0.9311727702120641
2025-08-01,Institucional,211095070,199811180,0.9465459330717672
2025-08-01,Tiendas Especializadas,10264430,9863220,0.9609125884242963
2025-08-01,Tradicional Modernizado,2661870,2536910,0.9530555586861867
2025-09-01,E-commerce,1866220,1758720,0.9423969306941303
2025-09-01,Exportaciones,36241340,34355170,0.9479552908363763
2025-09-01,Grandes Superficies,170038180,161670470,0.9507892286308874
2025-09-01,Hard Discount,115534210,108372930,0.9380159348473496
2025-09-01,Institucional,309935210,296319430,0.9560689474422736
2025-09-01,Tiendas Especializadas,9690680,9482430,0.9785102799803522
2025-09-01,Tradicional Modernizado,2702290,2556670,0.9461123713591065
2025-10-01,E-commerce,1988270,1888910,0.9500269078143311
2025-10-01,Exportaciones,17755440,16948240,0.9545378768422523
2025-10-01,Grandes Superficies,173588170,164896570,0.9499297676794449
2025-10-01,Hard Discount,122668550,115431390,0.9410023188502676
2025-10-01,Institucional,212104410,201961490,0.9521795892881246
2025-10-01,Tiendas Especializadas,12403000,12033830,0.9702354269128437
2025-10-01,Tradicional Modernizado,3420330,3221670,0.9419178851163484
2025-11-01,E-commerce,2185790,2064190,0.9443679401955357
2025-11-01,Exportaciones,19759890,18437370,0.9330704776190556
2025-11-01,Grandes Superficies,190059120,177107830,0.9318565191715084
2025-11-01,Hard Discount,114418670,106694870,0.9324952824569627
2025-11-01,Institucional,225416540,212683890,0.9435150144705442
2025-11-01,Tiendas Especializadas,13481230,12881880,0.9555418904654842
2025-11-01,Tradicional Modernizado,3070370,2888160,0.940655360754567
2025-12-01,E-commerce,2525370,2387620,0.9454535375014355
2025-12-01,Grandes Superficies,246216630,229548500,0.9323029886324088
2025-12-01,Hard Discount,134488500,125403770,0.9324497633626667
2025-12-01,Institucional,240170080,227177390,0.9459021290245646
2025-12-01,Tiendas Especializadas,22046220,20697890,0.9388407627248572
2025-12-01,Tradicional Modernizado,3592780,3381550,0.9412070875478042
