mes,categoria,valor_presupuesto,valor_real,kilos_presupuesto,kilos_real,cumplimiento_valor_pct
2025-01-01,CARNES FRIAS,75309520,71653380,2595.771,2468.81,0.9514518217617108
2025-01-01,CARNES MADURADAS,74025720,69795200,819.872,763.44,0.9428506740630148
2025-01-01,QUESO PARMESANO,32988800,31159620,685.827,647.8,0.9445514841400717
2025-01-01,QUESOS ANALOGOS,67097240,63805510,2997.91,2842.922,0.9509409030833459
2025-01-01,QUESOS FRESCOS,74544900,71178910,2465.928,2345.65,0.954846139709088
2025-01-01,QUESOS MADURADOS,131559390,124677440,1969.058,1863.375,0.9476894047623663
2025-02-01,CARNES FRIAS,75509620,71603660,2617.041,2482.905,0.9482720214987177
2025-02-01,CARNES MADURADAS,74890120,71091740,832.03,777.48,0.9492806260692331
2025-02-01,QUESO PARMESANO,33823780,32143170,701.965,656.75,0.9503127681175788
2025-02-01,QUESOS ANALOGOS,68404640,64919070,3053.108,2897.18,0.9490448308769698
2025-02-01,QUESOS FRESCOS,76337780,73130260,2533.32,2418.15,0.9579825349911931
2025-02-01,QUESOS MADURADOS,127868950,120433870,1916.729,1792.61,0.9418539058934948
2025-03-01,CARNES FRIAS,76324420,72638920,2644.404,2505.4700000000003,0.9517127021731708
2025-03-01,CARNES MADURADAS,80782570,76744250,898.0509999999999,851.68,0.9500100083470977
2025-03-01,QUESO PARMESANO,35751590,33921030,742.389,682.75,0.9487978017201473
2025-03-01,QUESOS ANALOGOS,68773020,65466700,3078.06,2798.684,0.9519241702632806
2025-03-01,QUESOS FRESCOS,88228450,83791950,2920.073,2772.84,0.9497157662862716
2025-03-01,QUESOS MADURADOS,141359320,134734600,2092.703,1938.285,0.9531355979924069
2025-04-01,CARNES FRIAS,98899250,92699010,3431.292,3200.79,0.9373075124432187
2025-04-01,CARNES MADURADAS,103650630,98324690,1155.866,985.176,0.9486164242320573
2025-04-01,QUESO PARMESANO,36719210,34676150,760.091,718.715,0.9443599140613319
2025-04-01,QUESOS ANALOGOS,90622400,85982270,4111.983,3908.714,0.9487970965235968
2025-04-01,QUESOS FRESCOS,98206790,94098870,3293.402,3141.05,0.9581707130433649
2025-04-01,QUESOS MADURADOS,164919590,155773210,2508.999,2360.575,0.9445403666113892
2025-05-01,CARNES FRIAS,72376570,68386610,2500.499,2363.32,0.9448722148617985
2025-05-01,CARNES MADURADAS,78413970,74102690,866.699,815.52,0.9450189806739794
2025-05-01,QUESO PARMESANO,39181120,37237620,814.78,756.55,0.9503970279563219
2025-05-01,QUESOS ANALOGOS,78329700,73730250,3487.042,3225.114,0.9412808934542071
2025-05-01,QUESOS FRESCOS,95165760,89881410,3163.523,2944.15,0.9444721504877385
2025-05-01,QUESOS MADURADOS,143239980,136119110,2126.581,2012.67,0.9502871335223587
2025-06-01,CARNES FRIAS,74301260,70307090,2568.132,2417.02,0.9462435764884741
2025-06-01,CARNES MADURADAS,81855980,77379310,905.186,855.72,0.9453104098197834
2025-06-01,QUESO PARMESANO,36918780,35071880,765.179,701.65,0.9499739698874123
2025-06-01,QUESOS ANALOGOS,71618170,67995800,3191.561,2993.474,0.9494210756851229
2025-06-01,QUESOS FRESCOS,91471560,87004650,3031.799,2884.25,0.9511661329488641
2025-06-01,QUESOS MADURADOS,147689700,139617900,2186.967,2038.325,0.9453462225192414
2025-07-01,CARNES FRIAS,78409540,73549980,2704.3,2524.87,0.9380233578720141
2025-07-01,CARNES MADURADAS,82304840,77888070,908.716,811.96,0.9463364487434761
2025-07-01,QUESO PARMESANO,38553170,36582630,800.134,741.1,0.9488877308921679
2025-07-01,QUESOS ANALOGOS,83639280,77639260,3706.091,3390.7619999999997,0.9282631318681844
2025-07-01,QUESOS FRESCOS,94068770,89603900,3130.163,2961.95,0.9525361073606043
2025-07-01,QUESOS MADURADOS,148890230,142086720,2213.189,2047.375,0.9543051951763389
2025-08-01,CARNES FRIAS,77667160,73846380,2680.652,2504.4,0.950805720204009
2025-08-01,CARNES MADURADAS,83868080,79273160,928.6709999999999,858.4,0.945212529009845
2025-08-01,QUESO PARMESANO,39125170,37045750,815.854,772.45,0.946852115914129
2025-08-01,QUESOS ANALOGOS,78313850,72711820,3471.4210000000003,3160.062,0.9284669314559302
2025-08-01,QUESOS FRESCOS,95678440,94513920,3179.538,3136.45,0.9878288149346917
2025-08-01,QUESOS MADURADOS,146002140,138381080,2177.243,2032.425,0.9478017240021276
2025-09-01,CARNES FRIAS,99014180,94611610,3427.8450000000003,3275.5099999999998,0.9555359646466799
2025-09-01,CARNES MADURADAS,114933980,109736830,1275.15,1217.64,0.9547814319142172
2025-09-01,QUESO PARMESANO,40131790,37745440,833.319,742.15,0.9405371651750395
2025-09-01,QUESOS ANALOGOS,92734700,86881550,4215.5740000000005,3957.474,0.9368828496776288
2025-09-01,QUESOS FRESCOS,99859530,94698800,3341.993,3155.85,0.9483201052518473
2025-09-01,QUESOS MADURADOS,199333950,190841590,3028.974,2869.995,0.957396319091655
2025-10-01,CARNES FRIAS,77856340,74025300,2709.633,2576.3,0.950793474237294
2025-10-01,CARNES MADURADAS,92050970,87659830,1018.07,958.16,0.952296646086402
2025-10-01,QUESO PARMESANO,41796420,39876620,872.622,807.15,0.954067836431924
2025-10-01,QUESOS ANALOGOS,82060170,76779390,3624.779,3397.23,0.9356474645373023
2025-10-01,QUESOS FRESCOS,92574410,88058550,3063.553,2778.45,0.9512191328035469
2025-10-01,QUESOS MADURADOS,157589860,149982410,2341.6549999999997,2222.505,0.9517262722360437
2025-11-01,CARNES FRIAS,81021890,76437450,2797.647,2588.66,0.9434172666177004
2025-11-01,CARNES MADURADAS,92525580,87742440,1024.883,918.52,0.9483046742317097
2025-11-01,QUESO PARMESANO,38067660,36313280,791.4060000000001,755.0,0.9539141623099502
2025-11-01,QUESOS ANALOGOS,76106970,70364440,3376.129,3132.788,0.9245465954038112
2025-11-01,QUESOS FRESCOS,90707810,85978970,3010.139,2852.35,0.9478673335846164
2025-11-01,QUESOS MADURADOS,189961700,175921610,2893.707,2664.095,0.926089890751662
2025-12-01,CARNES FRIAS,84816740,80693010,2932.0480000000002,2789.46,0.9513807062143629
