cliente_id,valor_presupuesto,valor_real,gap_valor,cliente
C007,1073414640,1016944920,-56469720,Food Service Capital
C008,845274150,801000970,-44273180,Horeca Antioquia
C009,790570550,751474360,-39096190,Sabor Escolar
C001,609380200,579998430,-29381770,HiperMax Nacional
C004,448116330,420568710,-27547620,Descuento Ya
C014,415967490,393623940,-22343550,Plaza Hogar
C002,359935420,340089380,-19846040,SuperAhorro
C005,354712870,334898750,-19814120,PrecioListo
C018,310179090,291591220,-18587870,Cadena Uno
C003,330447700,312210240,-18237460,MaxiCompra Caribe
C016,278609830,263556570,-15053260,Canasta Familiar
C006,245388730,231113000,-14275730,PuntoMenos Caribe
C010,113960800,107185540,-6775260,Andes Export LLC
C011,91029210,86362910,-4666300,Caribe Export Partners
C012,76503000,73547340,-2955660,Delimarket Gourmet
C013,61094270,59048330,-2045940,La Mesa Premium
C015,35505070,33579350,-1925720,Abarrotes Norte
C017,20959060,19859340,-1099720,RapiExpress
