cliente_id,sku,fecha,unidades_inventario,kilos_inventario,sell_in_unidades,sell_in_kilos,sell_in_valor,sell_out_unidades,sell_out_kilos,sell_out_valor,cum_si_u,cum_so_u,cum_si_k,cum_so_k,inv_unidades_cierre,inv_kilos_cierre,inv_negativa_flag,inv_kilos_cierre_clip,avg_diario_30d_kilos,sell_out_kilos_30d,doh_30d,mes,cliente,canal,regional,zona,ciudad,formato_cliente,descripcion_producto,peso_kg,unidad,variedad,subcategoria,categoria,tipo_producto,marca,origen,anio_mes
C002,130101,2025-01-31,104,15.6,0.0,0.0,0.0,8.0,1.2,44900.0,245.0,237.0,36.75,34.8,112.0,17.550000000000004,False,17.550000000000004,1.095,32.85,16.027397260273975,2025-01-01,SuperAhorro,Grandes Superficies,Antioquia,Valle de Aburrá,Medellín,Supermercado,CHEDDAR ESTILO AMERICANO DELILAT 150G,0.15,UND,CHEDDAR ANALOGO,LONCHAS,QUESOS ANALOGOS,regular,DELILAT,MAQUILA,2025-01
C013,900102,2025-01-31,19,1.52,0.0,0.0,0.0,3.0,0.24,32160.0,33.0,43.0,2.64,3.44,9.0,0.7200000000000002,False,0.7200000000000002,0.10933333333333332,3.28,6.585365853658539,2025-01-01,La Mesa Premium,Tiendas Especializadas,Occidente,,Cali,Especialidad,PEPPERONI TAJADO CASA IBERIA 80G,0.08,UND,PEPPERONI,CHARCUTERIA,CARNES MADURADAS,regular,CASA IBERIA,IMPORTADO,2025-01
C013,190101,2025-01-31,4,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,3.0,1.2000000000000002,False,1.2000000000000002,0.013333333333333334,0.4,90.00000000000001,2025-01-01,La Mesa Premium,Tiendas Especializadas,Occidente,,Cali,Especialidad,TABLA APERITIVO NAVIDEÑA MONTE AZUL 400G,0.4,UND,MIXTO QUESOS,TEMPORADA,QUESOS MADURADOS,temporada,MONTE AZUL,IMPORTADO,2025-01
C003,110113,2025-01-31,58,14.5,0.0,0.0,0.0,4.0,1.0,61310.0,146.0,143.0,36.5,35.75,61.0,15.25,False,15.25,1.15,34.5,13.260869565217392,2025-01-01,MaxiCompra Caribe,Grandes Superficies,Caribe,Costa Norte,Barranquilla,Supermercado,PARMESANO RALLADO ORO LECHE 250G,0.25,UND,TIPO PARMESANO,RALLADOS,QUESO PARMESANO,regular,ORO LECHE,MAQUILA,2025-01
C014,900101,2025-01-31,67,0.0,0.0,0.0,0.0,2.0,0.16,20250.0,105.0,124.0,8.399999999999999,9.92,48.0,-1.5200000000000014,True,0.0,0.32266666666666666,9.68,0.0,2025-01-01,Plaza Hogar,Grandes Superficies,Occidente,Valle del Cauca,Cali,Hipermercado,SALAMI TAJADO CASA IBERIA 80G,0.08,UND,SALAMI,CHARCUTERIA,CARNES MADURADAS,regular,CASA IBERIA,IMPORTADO,2025-01
C016,120104,2025-01-31,81,16.2,0.0,0.0,0.0,5.0,1.0,39390.0,112.0,129.0,9.6,25.8,64.0,-3.552713678800501e-15,True,0.0,0.84,25.2,0.0,2025-01-01,Canasta Familiar,Grandes Superficies,Santanderes,Bucaramanga Metropolitana,Bucaramanga,Supermercado,MOZZARELLA LIGHT CAMPOCLARO 200G,0.2,UND,MOZZARELLA,QUESOS TAJADOS,QUESOS FRESCOS,regular,CAMPOCLARO,NACIONAL,2025-01
C003,120101,2025-01-31,113,28.25,0.0,0.0,0.0,4.0,1.0,40450.0,132.0,190.0,33.0,47.5,55.0,13.75,False,13.75,1.5416666666666667,46.25,8.91891891891892,2025-01-01,MaxiCompra Caribe,Grandes Superficies,Caribe,Costa Norte,Barranquilla,Supermercado,MOZZARELLA TAJADA CAMPOCLARO 250G,0.25,UND,MOZZARELLA,QUESOS TAJADOS,QUESOS FRESCOS,regular,CAMPOCLARO,NACIONAL,2025-01
C015,110112,2025-01-31,32,3.2,0.0,0.0,0.0,3.0,0.3,19640.0,41.0,61.0,4.1,6.1,12.0,1.2000000000000002,False,1.2000000000000002,0.19666666666666668,5.9,6.101694915254238,2025-01-01,Abarrotes Norte,Tradicional Modernizado,Caribe,Costa Norte,Barranquilla,Supermercado Regional,PARMESANO RALLADO ORO LECHE 100G,0.1,UND,TIPO PARMESANO,RALLADOS,QUESO PARMESANO,regular,ORO LECHE,MAQUILA,2025-01
C016,190101,2025-01-31,16,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,6.4,False,6.4,0.0,0.0,,2025-01-01,Canasta Familiar,Grandes Superficies,Santanderes,Bucaramanga Metropolitana,Bucaramanga,Supermercado,TABLA APERITIVO NAVIDEÑA MONTE AZUL 400G,0.4,UND,MIXTO QUESOS,TEMPORADA,QUESOS MADURADOS,temporada,MONTE AZUL,IMPORTADO,2025-01
C013,190103,2025-01-31,5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,False,3.0,0.0,0.0,,2025-01-01,La Mesa Premium,Tiendas Especializadas,Occidente,,Cali,Especialidad,RACLETTE CELEBRACION LOMA DORADA 600G,0.6,UND,MIXTO QUESOS,TEMPORADA,QUESOS MADURADOS,temporada,LOMA DORADA,IMPORTADO,2025-01
C003,110115,2025-01-31,50,12.5,0.0,0.0,0.0,2.0,0.5,50100.0,114.0,104.0,28.5,26.0,60.0,15.0,False,15.0,0.85,25.5,17.647058823529413,2025-01-01,MaxiCompra Caribe,Grandes Superficies,Caribe,Costa Norte,Barranquilla,Supermercado,FETA CUBOS CASA SIERRA 250G,0.25,UND,FETA,ESPECIALES,QUESOS MADURADOS,regular,CASA SIERRA,IMPORTADO,2025-01
C002,120104,2025-01-31,82,16.4,0.0,0.0,0.0,6.0,1.2,47380.0,121.0,155.0,24.200000000000003,31.0,48.0,9.600000000000001,False,9.600000000000001,1.0066666666666666,30.2,9.536423841059605,2025-01-01,SuperAhorro,Grandes Superficies,Antioquia,Valle de Aburrá,Medellín,Supermercado,MOZZARELLA LIGHT CAMPOCLARO 200G,0.2,UND,MOZZARELLA,QUESOS TAJADOS,QUESOS FRESCOS,regular,CAMPOCLARO,NACIONAL,2025-01
C013,110114,2025-01-31,14,3.5,0.0,0.0,0.0,0.0,0.0,0.0,28.0,30.0,7.0,7.25,12.0,3.25,False,3.25,0.23333333333333334,7.0,13.928571428571429,2025-01-01,La Mesa Premium,Tiendas Especializadas,Occidente,,Cali,Especialidad,GOUDA NATURAL CUÑA LOMA DORADA 250G,0.25,UND,GOUDA NATURAL,CUÑAS,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,2025-01
