mes,sell_in_unidades,sell_in_kilos,sell_in_valor,sell_out_unidades,sell_out_kilos,sell_out_valor,anio_mes,kilos_presupuesto,valor_presupuesto,kilos_real,valor_real,cumplimiento_valor_pct,cumplimiento_kilos_pct,gap_valor,gap_kilos,sell_in_valor_vs_prev_pct,sell_out_valor_vs_prev_pct,inv_unidades_cierre,inv_kilos_cierre,doh_portafolio
2025-01-01,37166,10931.997,432270060,34537,6279.921,339063800,2025-01,11534.366,455525570,10931.997,432270060,0.9489479591672537,0.9477761499851833,-23255510,-602.3690000000006,,,13566.0,2650.7799999999997,13.063216232651977
2025-02-01,37243,11025.075,433321770,31566,5718.441,307749710,2025-02,11654.193,456834890,11025.075,433321770,0.9485303760402364,0.9460178838637734,-23513120,-629.1179999999986,0.0024329929303916753,-0.0923545657189001,13100.0,2590.425,12.686428890927674
2025-03-01,40453,11549.709,467297450,34833,6340.749,339655400,2025-03,12375.68,491219370,11549.709,467297450,0.9513009432018122,0.9332585360966024,-23921920,-825.9709999999995,0.07840750765880045,0.10367415130951718,12335.0,2427.903,11.936076511930656
2025-04-01,44051,14315.02,561554200,34670,6250.842,338049830,2025-04,15261.633,593017870,14315.02,561554200,0.9469431334337362,0.93797433079409,-31463670,-946.6129999999994,0.20170610817585244,-0.004727055715881501,12656.0,2488.493,11.946043193096479
2025-05-01,42792,12117.324,479457690,36364,6637.113,355493430,2025-05,12959.124,506707100,12117.324,479457690,0.9462225613179686,0.9350419056102867,-27249410,-841.7999999999993,-0.14619516691354106,0.05160067674046753,12805.0,2522.274,11.751258200022704
2025-06-01,41411,11890.439,477376630,35280,6421.043,345546280,2025-06,12648.824,503855450,11890.439,477376630,0.9474475864059821,0.9400430427366212,-26478820,-758.3850000000002,-0.004340445556311745,-0.027981248486083188,12582.0,2425.893,11.32793258602207
2025-07-01,44830,12478.017,497350560,37826,6911.453,370874970,2025-07,13462.593,525865830,12478.017,497350560,0.9457746284827063,0.9268657976958822,-28515270,-984.5760000000009,0.04184103021549257,0.0733004273696709,13137.0,2477.2439999999992,11.12881923043057
2025-08-01,44046,12464.187,495772110,37661,6834.213,368638430,2025-08,13253.379,520654840,12464.187,495772110,0.9522087800048109,0.94045352509726,-24882730,-789.1920000000009,-0.003173717146312205,-0.00603044201122549,12974.0,2483.3309999999997,11.304967802055746
2025-09-01,47470,15218.619,614515820,36397,6583.988,357075390,2025-09,16122.855,646008130,15218.619,614515820,0.9512509076317662,0.9439158883460778,-31492310,-904.235999999999,0.2395126865849715,-0.03136688706058133,14122.0,2726.045,12.42607987202777
2025-10-01,46151,12739.795,516382100,39271,7156.749,387745870,2025-10,13630.312,543928170,12739.795,516382100,0.9493571550081695,0.9346664258308981,-27546070,-890.5169999999998,-0.1596927480239646,0.08589356998251829,14451.0,2780.107,12.035175125260572
2025-11-01,44862,12911.413,532758190,39292,7309.509,403793550,2025-11,13893.911,568391610,12911.413,532758190,0.9373083286714946,0.9292857137202045,-35633420,-982.4979999999996,0.03171312483527222,0.04138710748872709,13240.0,2612.31,10.725090764474386
2025-12-01,52531,14652.417,608596720,44016,8316.451,471481640,2025-12,15720.417,649039580,14652.417,608596720,0.9376881453054065,0.9320628708513267,-40442860,-1068.0,0.14235075391332797,0.16763043887154705,15484.0,3085.987,11.47635684504721
