fecha,cliente_ref,sku,unidades,kilos,valor,canal_fuente,regional_fuente,fuente,archivo,cliente_id,cliente,metodo_cliente,score_cliente,canal,regional,sku_valido,descripcion_producto,peso_kg,unidad,variedad,subcategoria,categoria,tipo_producto,marca,origen,duplicado_exacto
2025-01-01,HiperMax Nal,110101,3,0.45,44890,Grandes superficies,CENTRO,POS_SHARE_H1,Sell_out_1.csv,C001,HiperMax Nacional,alias_especifico,100.0,Grandes Superficies,Centro,True,GOUDA AHUMADO TAJADO LOMA DORADA 150G,0.15,UND,GOUDA AHUMADO,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,False
2025-01-02,Hipermax Nacional S.A.,110101,8,1.2,114190,Grandes Superficies,CENTRO,POS_SHARE_H1,Sell_out_1.csv,C001,HiperMax Nacional,alias_especifico,100.0,Grandes Superficies,Centro,True,GOUDA AHUMADO TAJADO LOMA DORADA 150G,0.15,UND,GOUDA AHUMADO,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,False
2025-01-03,HIPER MAX NACIONAL,110101,5,0.75,74650,GS,Centro,POS_SHARE_H1,Sell_out_1.csv,C001,HiperMax Nacional,alias_especifico,100.0,Grandes Superficies,Centro,True,GOUDA AHUMADO TAJADO LOMA DORADA 150G,0.15,UND,GOUDA AHUMADO,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,False
2025-01-04,HIPER MAX NACIONAL,110101,10,1.5,146700,Grandes superficies,CENTRO,POS_SHARE_H1,Sell_out_1.csv,C001,HiperMax Nacional,alias_especifico,100.0,Grandes Superficies,Centro,True,GOUDA AHUMADO TAJADO LOMA DORADA 150G,0.15,UND,GOUDA AHUMADO,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,False
2025-01-05,HIPER MAX NACIONAL,110101,8,1.2,115750,Grandes Superficies,Centro,POS_SHARE_H1,Sell_out_1.csv,C001,HiperMax Nacional,alias_especifico,100.0,Grandes Superficies,Centro,True,GOUDA AHUMADO TAJADO LOMA DORADA 150G,0.15,UND,GOUDA AHUMADO,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,False
2025-01-06,HiperMax Nacional,110101,12,1.8,176110,Grandes superficies,Centro,POS_SHARE_H1,Sell_out_1.csv,C001,HiperMax Nacional,alias_especifico,100.0,Grandes Superficies,Centro,True,GOUDA AHUMADO TAJADO LOMA DORADA 150G,0.15,UND,GOUDA AHUMADO,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,False
2025-01-07,HiperMax Nal,110101,4,0.6,57130,Grandes superficies,CENTRO,POS_SHARE_H1,Sell_out_1.csv,C001,HiperMax Nacional,alias_especifico,100.0,Grandes Superficies,Centro,True,GOUDA AHUMADO TAJADO LOMA DORADA 150G,0.15,UND,GOUDA AHUMADO,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,False
2025-01-08,HiperMax Nacional,110101,5,0.75,71590,GS,Centro,POS_SHARE_H1,Sell_out_1.csv,C001,HiperMax Nacional,alias_especifico,100.0,Grandes Superficies,Centro,True,GOUDA AHUMADO TAJADO LOMA DORADA 150G,0.15,UND,GOUDA AHUMADO,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,False
2025-01-09,HIPER MAX NACIONAL,110101,8,1.2,116600,GS,CENTRO,POS_SHARE_H1,Sell_out_1.csv,C001,HiperMax Nacional,alias_especifico,100.0,Grandes Superficies,Centro,True,GOUDA AHUMADO TAJADO LOMA DORADA 150G,0.15,UND,GOUDA AHUMADO,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,False
2025-01-10,Hipermax Nacional S.A.,110101,6,0.9,87930,Grandes Superficies,Centro,POS_SHARE_H1,Sell_out_1.csv,C001,HiperMax Nacional,alias_especifico,100.0,Grandes Superficies,Centro,True,GOUDA AHUMADO TAJADO LOMA DORADA 150G,0.15,UND,GOUDA AHUMADO,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,False
2025-01-11,HiperMax Nal,110101,10,1.5,143400,GS,CENTRO,POS_SHARE_H1,Sell_out_1.csv,C001,HiperMax Nacional,alias_especifico,100.0,Grandes Superficies,Centro,True,GOUDA AHUMADO TAJADO LOMA DORADA 150G,0.15,UND,GOUDA AHUMADO,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,False
2025-01-12,HiperMax Nal,110101,3,0.45,42980,Grandes superficies,CENTRO,POS_SHARE_H1,Sell_out_1.csv,C001,HiperMax Nacional,alias_especifico,100.0,Grandes Superficies,Centro,True,GOUDA AHUMADO TAJADO LOMA DORADA 150G,0.15,UND,GOUDA AHUMADO,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,False
2025-01-13,HiperMax Nal,110101,5,0.75,71440,Grandes superficies,Centro,POS_SHARE_H1,Sell_out_1.csv,C001,HiperMax Nacional,alias_especifico,100.0,Grandes Superficies,Centro,True,GOUDA AHUMADO TAJADO LOMA DORADA 150G,0.15,UND,GOUDA AHUMADO,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,False
2025-01-14,HiperMax Nal,110101,5,0.75,73610,GS,Centro,POS_SHARE_H1,Sell_out_1.csv,C001,HiperMax Nacional,alias_especifico,100.0,Grandes Superficies,Centro,True,GOUDA AHUMADO TAJADO LOMA DORADA 150G,0.15,UND,GOUDA AHUMADO,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,False
2025-01-15,HiperMax Nal,110101,8,1.2,119640,GS,CENTRO,POS_SHARE_H1,Sell_out_1.csv,C001,HiperMax Nacional,alias_especifico,100.0,Grandes Superficies,Centro,True,GOUDA AHUMADO TAJADO LOMA DORADA 150G,0.15,UND,GOUDA AHUMADO,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,False
2025-01-16,Hipermax Nacional S.A.,110101,2,0.3,28540,Grandes Superficies,Centro,POS_SHARE_H1,Sell_out_1.csv,C001,HiperMax Nacional,alias_especifico,100.0,Grandes Superficies,Centro,True,GOUDA AHUMADO TAJADO LOMA DORADA 150G,0.15,UND,GOUDA AHUMADO,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,False
2025-01-17,HiperMax Nal,110101,4,0.6,59390,GS,CENTRO,POS_SHARE_H1,Sell_out_1.csv,C001,HiperMax Nacional,alias_especifico,100.0,Grandes Superficies,Centro,True,GOUDA AHUMADO TAJADO LOMA DORADA 150G,0.15,UND,GOUDA AHUMADO,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,False
2025-01-18,HIPER MAX NACIONAL,110101,7,1.05,103610,Grandes Superficies,CENTRO,POS_SHARE_H1,Sell_out_1.csv,C001,HiperMax Nacional,alias_especifico,100.0,Grandes Superficies,Centro,True,GOUDA AHUMADO TAJADO LOMA DORADA 150G,0.15,UND,GOUDA AHUMADO,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,False
2025-01-19,HIPER MAX NACIONAL,110101,10,1.5,149120,GS,CENTRO,POS_SHARE_H1,Sell_out_1.csv,C001,HiperMax Nacional,alias_especifico,100.0,Grandes Superficies,Centro,True,GOUDA AHUMADO TAJADO LOMA DORADA 150G,0.15,UND,GOUDA AHUMADO,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,False
2025-01-20,HIPER MAX NACIONAL,110101,4,0.6,59660,Grandes superficies,Centro,POS_SHARE_H1,Sell_out_1.csv,C001,HiperMax Nacional,alias_especifico,100.0,Grandes Superficies,Centro,True,GOUDA AHUMADO TAJADO LOMA DORADA 150G,0.15,UND,GOUDA AHUMADO,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,False
2025-01-21,HIPER MAX NACIONAL,110101,9,1.35,133470,Grandes Superficies,CENTRO,POS_SHARE_H1,Sell_out_1.csv,C001,HiperMax Nacional,alias_especifico,100.0,Grandes Superficies,Centro,True,GOUDA AHUMADO TAJADO LOMA DORADA 150G,0.15,UND,GOUDA AHUMADO,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,False
2025-01-22,Hipermax Nacional S.A.,110101,3,0.45,44700,GS,Centro,POS_SHARE_H1,Sell_out_1.csv,C001,HiperMax Nacional,alias_especifico,100.0,Grandes Superficies,Centro,True,GOUDA AHUMADO TAJADO LOMA DORADA 150G,0.15,UND,GOUDA AHUMADO,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,False
2025-01-23,Hipermax Nacional S.A.,110101,4,0.6,57270,GS,CENTRO,POS_SHARE_H1,Sell_out_1.csv,C001,HiperMax Nacional,alias_especifico,100.0,Grandes Superficies,Centro,True,GOUDA AHUMADO TAJADO LOMA DORADA 150G,0.15,UND,GOUDA AHUMADO,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,False
2025-01-24,Hipermax Nacional S.A.,110101,4,0.6,59890,Grandes Superficies,Centro,POS_SHARE_H1,Sell_out_1.csv,C001,HiperMax Nacional,alias_especifico,100.0,Grandes Superficies,Centro,True,GOUDA AHUMADO TAJADO LOMA DORADA 150G,0.15,UND,GOUDA AHUMADO,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,False
2025-01-25,HiperMax Nal,110101,9,1.35,134230,Grandes Superficies,CENTRO,POS_SHARE_H1,Sell_out_1.csv,C001,HiperMax Nacional,alias_especifico,100.0,Grandes Superficies,Centro,True,GOUDA AHUMADO TAJADO LOMA DORADA 150G,0.15,UND,GOUDA AHUMADO,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,False
2025-01-26,Hipermax Nacional S.A.,110101,1,0.15,14600,Grandes superficies,Centro,POS_SHARE_H1,Sell_out_1.csv,C001,HiperMax Nacional,alias_especifico,100.0,Grandes Superficies,Centro,True,GOUDA AHUMADO TAJADO LOMA DORADA 150G,0.15,UND,GOUDA AHUMADO,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,False
2025-01-27,HiperMax Nal,110101,2,0.3,29600,Grandes Superficies,Centro,POS_SHARE_H1,Sell_out_1.csv,C001,HiperMax Nacional,alias_especifico,100.0,Grandes Superficies,Centro,True,GOUDA AHUMADO TAJADO LOMA DORADA 150G,0.15,UND,GOUDA AHUMADO,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,False
2025-01-28,HIPER MAX NACIONAL,110101,6,0.9,89770,GS,CENTRO,POS_SHARE_H1,Sell_out_1.csv,C001,HiperMax Nacional,alias_especifico,100.0,Grandes Superficies,Centro,True,GOUDA AHUMADO TAJADO LOMA DORADA 150G,0.15,UND,GOUDA AHUMADO,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,False
2025-01-29,HiperMax Nal,110101,7,1.05,103330,GS,CENTRO,POS_SHARE_H1,Sell_out_1.csv,C001,HiperMax Nacional,alias_especifico,100.0,Grandes Superficies,Centro,True,GOUDA AHUMADO TAJADO LOMA DORADA 150G,0.15,UND,GOUDA AHUMADO,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,False
2025-01-30,HiperMax Nal,110101,6,0.9,87520,Grandes superficies,CENTRO,POS_SHARE_H1,Sell_out_1.csv,C001,HiperMax Nacional,alias_especifico,100.0,Grandes Superficies,Centro,True,GOUDA AHUMADO TAJADO LOMA DORADA 150G,0.15,UND,GOUDA AHUMADO,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,False
2025-01-31,HIPER MAX NACIONAL,110101,5,0.75,74820,GS,Centro,POS_SHARE_H1,Sell_out_1.csv,C001,HiperMax Nacional,alias_especifico,100.0,Grandes Superficies,Centro,True,GOUDA AHUMADO TAJADO LOMA DORADA 150G,0.15,UND,GOUDA AHUMADO,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,False
2025-02-01,HIPER MAX NACIONAL,110101,14,2.1,199850,GS,Centro,POS_SHARE_H1,Sell_out_1.csv,C001,HiperMax Nacional,alias_especifico,100.0,Grandes Superficies,Centro,True,GOUDA AHUMADO TAJADO LOMA DORADA 150G,0.15,UND,GOUDA AHUMADO,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,False
2025-02-02,HiperMax Nacional,110101,8,1.2,116460,Grandes Superficies,Centro,POS_SHARE_H1,Sell_out_1.csv,C001,HiperMax Nacional,alias_especifico,100.0,Grandes Superficies,Centro,True,GOUDA AHUMADO TAJADO LOMA DORADA 150G,0.15,UND,GOUDA AHUMADO,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,False
2025-02-03,HiperMax Nacional,110101,9,1.35,131250,Grandes superficies,CENTRO,POS_SHARE_H1,Sell_out_1.csv,C001,HiperMax Nacional,alias_especifico,100.0,Grandes Superficies,Centro,True,GOUDA AHUMADO TAJADO LOMA DORADA 150G,0.15,UND,GOUDA AHUMADO,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,False
2025-02-04,HIPER MAX NACIONAL,110101,5,0.75,73720,GS,Centro,POS_SHARE_H1,Sell_out_1.csv,C001,HiperMax Nacional,alias_especifico,100.0,Grandes Superficies,Centro,True,GOUDA AHUMADO TAJADO LOMA DORADA 150G,0.15,UND,GOUDA AHUMADO,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,False
2025-02-05,Hipermax Nacional S.A.,110101,8,1.2,118440,GS,CENTRO,POS_SHARE_H1,Sell_out_1.csv,C001,HiperMax Nacional,alias_especifico,100.0,Grandes Superficies,Centro,True,GOUDA AHUMADO TAJADO LOMA DORADA 150G,0.15,UND,GOUDA AHUMADO,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,False
2025-02-06,HiperMax Nacional,110101,3,0.45,43530,Grandes superficies,CENTRO,POS_SHARE_H1,Sell_out_1.csv,C001,HiperMax Nacional,alias_especifico,100.0,Grandes Superficies,Centro,True,GOUDA AHUMADO TAJADO LOMA DORADA 150G,0.15,UND,GOUDA AHUMADO,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,False
2025-02-07,HiperMax Nacional,110101,10,1.5,149290,Grandes Superficies,CENTRO,POS_SHARE_H1,Sell_out_1.csv,C001,HiperMax Nacional,alias_especifico,100.0,Grandes Superficies,Centro,True,GOUDA AHUMADO TAJADO LOMA DORADA 150G,0.15,UND,GOUDA AHUMADO,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,False
2025-02-08,Hipermax Nacional S.A.,110101,7,1.05,100440,GS,CENTRO,POS_SHARE_H1,Sell_out_1.csv,C001,HiperMax Nacional,alias_especifico,100.0,Grandes Superficies,Centro,True,GOUDA AHUMADO TAJADO LOMA DORADA 150G,0.15,UND,GOUDA AHUMADO,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,False
2025-02-09,Hipermax Nacional S.A.,110101,2,0.3,28780,Grandes Superficies,Centro,POS_SHARE_H1,Sell_out_1.csv,C001,HiperMax Nacional,alias_especifico,100.0,Grandes Superficies,Centro,True,GOUDA AHUMADO TAJADO LOMA DORADA 150G,0.15,UND,GOUDA AHUMADO,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,False
2025-02-10,Hipermax Nacional S.A.,110101,5,0.75,71890,Grandes Superficies,Centro,POS_SHARE_H1,Sell_out_1.csv,C001,HiperMax Nacional,alias_especifico,100.0,Grandes Superficies,Centro,True,GOUDA AHUMADO TAJADO LOMA DORADA 150G,0.15,UND,GOUDA AHUMADO,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,False
2025-02-11,HiperMax Nal,110101,2,0.3,29180,GS,Centro,POS_SHARE_H1,Sell_out_1.csv,C001,HiperMax Nacional,alias_especifico,100.0,Grandes Superficies,Centro,True,GOUDA AHUMADO TAJADO LOMA DORADA 150G,0.15,UND,GOUDA AHUMADO,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,False
2025-02-12,HiperMax Nal,110101,3,0.45,44510,Grandes superficies,Centro,POS_SHARE_H1,Sell_out_1.csv,C001,HiperMax Nacional,alias_especifico,100.0,Grandes Superficies,Centro,True,GOUDA AHUMADO TAJADO LOMA DORADA 150G,0.15,UND,GOUDA AHUMADO,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,False
2025-02-13,HiperMax Nacional,110101,4,0.6,59370,GS,CENTRO,POS_SHARE_H1,Sell_out_1.csv,C001,HiperMax Nacional,alias_especifico,100.0,Grandes Superficies,Centro,True,GOUDA AHUMADO TAJADO LOMA DORADA 150G,0.15,UND,GOUDA AHUMADO,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,False
2025-02-14,HiperMax Nacional,110101,6,0.9,88790,Grandes Superficies,CENTRO,POS_SHARE_H1,Sell_out_1.csv,C001,HiperMax Nacional,alias_especifico,100.0,Grandes Superficies,Centro,True,GOUDA AHUMADO TAJADO LOMA DORADA 150G,0.15,UND,GOUDA AHUMADO,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,False
2025-02-15,HiperMax Nal,110101,6,0.9,87860,Grandes superficies,Centro,POS_SHARE_H1,Sell_out_1.csv,C001,HiperMax Nacional,alias_especifico,100.0,Grandes Superficies,Centro,True,GOUDA AHUMADO TAJADO LOMA DORADA 150G,0.15,UND,GOUDA AHUMADO,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,False
2025-02-16,HIPER MAX NACIONAL,110101,2,0.3,28980,Grandes Superficies,CENTRO,POS_SHARE_H1,Sell_out_1.csv,C001,HiperMax Nacional,alias_especifico,100.0,Grandes Superficies,Centro,True,GOUDA AHUMADO TAJADO LOMA DORADA 150G,0.15,UND,GOUDA AHUMADO,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,False
2025-02-17,Hipermax Nacional S.A.,110101,6,0.9,85910,Grandes Superficies,Centro,POS_SHARE_H1,Sell_out_1.csv,C001,HiperMax Nacional,alias_especifico,100.0,Grandes Superficies,Centro,True,GOUDA AHUMADO TAJADO LOMA DORADA 150G,0.15,UND,GOUDA AHUMADO,QUESOS TAJADOS PREMIUM,QUESOS MADURADOS,regular,LOMA DORADA,IMPORTADO,False
